"Year_Month","Card Type","Travel_Mode","Trip"
"2024-01",Adult,Ferry,504780.0
"2024-01",Adult,Light Rail,1203585.0
"2024-01",Adult,Metro,709103.0
"2024-01",Adult,Train,9987934.0
"2024-01",Adult,unallocated,5.0
"2024-01",CTP,Ferry,917501.0
"2024-01",CTP,Light Rail,1366699.0
"2024-01",CTP,Metro,513133.0
"2024-01",CTP,Train,8608350.0
"2024-01",CTP,unallocated,8.0
"2024-01",CTP,unallocated,1.0
"2024-01",Child/Youth,Ferry,175863.0
"2024-01",Child/Youth,Light Rail,190537.0
"2024-01",Child/Youth,Metro,154316.0
"2024-01",Child/Youth,Train,1029984.0
"2024-01",Child/Youth,unallocated,1.0
"2024-01",Concession,Ferry,19658.0
"2024-01",Concession,Light Rail,98008.0
"2024-01",Concession,Metro,84711.0
"2024-01",Concession,Train,725147.0
"2024-01",Day Pass Child/Youth w/o SAF,Ferry,1.0
"2024-01",Day Pass Child/Youth w/o SAF,Light Rail,8.0
"2024-01",Day Pass Child/Youth w/o SAF,Train,20.0
"2024-01",Day Pass without SAF,Ferry,55.0
"2024-01",Day Pass without SAF,Light Rail,79.0
"2024-01",Day Pass without SAF,Metro,21.0
"2024-01",Day Pass without SAF,Train,973.0
"2024-01",Employee,Ferry,4789.0
"2024-01",Employee,Light Rail,9363.0
"2024-01",Employee,Metro,7477.0
"2024-01",Employee,Train,177193.0
"2024-01",Free Travel,Ferry,1978.0
"2024-01",Free Travel,Light Rail,2929.0
"2024-01",Free Travel,Metro,1198.0
"2024-01",Free Travel,Train,20322.0
"2024-01",School Student,Ferry,617.0
"2024-01",School Student,Light Rail,1350.0
"2024-01",School Student,Metro,3271.0
"2024-01",School Student,Train,23876.0
"2024-01",Senior/Pensioner,Ferry,211877.0
"2024-01",Senior/Pensioner,Light Rail,402535.0
"2024-01",Senior/Pensioner,Metro,133445.0
"2024-01",Senior/Pensioner,Train,2191128.0
"2024-01",Senior/Pensioner,unallocated,1.0
"2024-01",Sgl Trip Ferry Adult,Ferry,39508.0
"2024-01",Sgl Trip Ferry Child/Youth,Ferry,26479.0
"2024-01",Sgl Trip LR Adult,Light Rail,5101.0
"2024-01",Sgl Trip LR Child/Youth,Light Rail,3566.0
"2024-01",Sgl Trip Rail Adult,Metro,4261.0
"2024-01",Sgl Trip Rail Adult,Train,91416.0
"2024-01",Sgl Trip Rail Child/Youth,Metro,7488.0
"2024-01",Sgl Trip Rail Child/Youth,Train,71657.0
"2024-01",UNKNOWN,Light Rail,9.0
"2024-01",UNKNOWN,Metro,1.0
"2024-01",UNKNOWN,Train,12.0
"2024-02",Adult,Ferry,439623.0
"2024-02",Adult,Light Rail,1335960.0
"2024-02",Adult,Metro,829981.0
"2024-02",Adult,Train,11484876
"2024-02",Adult,unallocated,238.0
"2024-02",CTP,Ferry,834298.0
"2024-02",CTP,Light Rail,1563894.0
"2024-02",CTP,Metro,623196.0
"2024-02",CTP,Train,10500907
"2024-02",CTP,unallocated,368.0
"2024-02",Child/Youth,Ferry,62236.0
"2024-02",Child/Youth,Light Rail,118438.0
"2024-02",Child/Youth,Metro,94236.0
"2024-02",Child/Youth,Train,706430.0
"2024-02",Concession,Ferry,20322.0
"2024-02",Concession,Light Rail,288205.0
"2024-02",Concession,Metro,154618.0
"2024-02",Concession,Train,1277244.0
"2024-02",Concession,unallocated,12.0
"2024-02",Day Pass Child/Youth w/o SAF,Train,18.0
"2024-02",Day Pass without SAF,Ferry,47.0
"2024-02",Day Pass without SAF,Light Rail,63.0
"2024-02",Day Pass without SAF,Metro,13.0
"2024-02",Day Pass without SAF,Train,1160.0
"2024-02",Employee,Ferry,4007.0
"2024-02",Employee,Light Rail,8926.0
"2024-02",Employee,Metro,9141.0
"2024-02",Employee,Train,254095.0
"2024-02",Free Travel,Ferry,1665.0
"2024-02",Free Travel,Light Rail,3092.0
"2024-02",Free Travel,Metro,1576.0
"2024-02",Free Travel,Train,25856.0
"2024-02",School Student,Ferry,10798.0
"2024-02",School Student,Light Rail,45849.0
"2024-02",School Student,Metro,182990.0
"2024-02",School Student,Train,1188297.0
"2024-02",Senior/Pensioner,Ferry,181934.0
"2024-02",Senior/Pensioner,Light Rail,392059.0
"2024-02",Senior/Pensioner,Metro,137363.0
"2024-02",Senior/Pensioner,Train,2441037.0
"2024-02",Senior/Pensioner,unallocated,14.0
"2024-02",Sgl Trip Ferry Adult,Ferry,30418.0
"2024-02",Sgl Trip Ferry Child/Youth,Ferry,10049.0
"2024-02",Sgl Trip LR Adult,Light Rail,4725.0
"2024-02",Sgl Trip LR Child/Youth,Light Rail,1754.0
"2024-02",Sgl Trip Rail Adult,Metro,4369.0
